Date,Open,High,Low,Close,Adj Close,Volume
2019-11-28,55.700001,56.730000,55.000000,55.160000,55.160000,1768400
2019-11-29,55.200001,56.430000,54.900002,56.340000,56.340000,2878700
2019-12-02,56.650002,59.520000,56.509998,58.799999,58.799999,3434000
2019-12-03,58.700001,60.549999,58.020000,59.750000,59.750000,3762300
2019-12-04,59.700001,61.040001,58.840000,59.200001,59.200001,4094200
2019-12-05,59.180000,59.939999,58.299999,59.500000,59.500000,3525300
2019-12-06,59.259998,61.410000,59.040001,61.410000,61.410000,2407300
2019-12-09,61.099998,61.869999,60.610001,60.730000,60.730000,1550700
2019-12-10,60.700001,61.389999,60.080002,61.299999,61.299999,1129200
2019-12-11,61.049999,61.450001,60.580002,61.400002,61.400002,1686000
2019-12-12,61.400002,64.610001,61.150002,64.610001,64.610001,2455100
2019-12-13,64.300003,66.199997,64.300003,66.199997,66.199997,1916000
2019-12-16,67.300003,67.489998,65.660004,66.540001,66.540001,1805400
2019-12-17,66.489998,66.629997,63.759998,64.279999,64.279999,2539000
2019-12-18,64.389999,64.620003,63.450001,63.880001,63.880001,2850100
2019-12-19,63.980000,64.239998,63.270000,63.810001,63.810001,2257200
2019-12-20,63.470001,63.790001,61.419998,62.700001,62.700001,3186700
2019-12-23,62.700001,64.150002,61.860001,62.599998,62.599998,2096900
2019-12-26,62.860001,63.900002,62.669998,62.730000,62.730000,1561200
2019-12-27,63.000000,63.389999,61.590000,62.400002,62.400002,2021900
2019-12-30,62.509998,62.880001,61.599998,62.860001,62.860001,1516900
2020-01-02,62.869999,65.220001,62.349998,65.180000,65.180000,2529500
2020-01-03,64.440002,65.930000,64.019997,64.300003,64.300003,2654600
2020-01-06,64.019997,64.440002,62.759998,63.900002,63.900002,1690200
2020-01-07,64.000000,64.360001,63.389999,63.740002,63.740002,1383500
2020-01-08,63.700001,64.730003,62.900002,64.589996,64.589996,1315700
2020-01-09,64.830002,68.040001,64.330002,68.040001,68.040001,2032200
2020-01-10,68.099998,68.199997,65.820000,66.779999,66.779999,1364900
2020-01-13,66.699997,69.169998,66.309998,69.169998,69.169998,1352800
2020-01-14,68.500000,71.720001,68.150002,68.349998,68.349998,2905500
2020-01-15,68.000000,70.449997,67.559998,70.110001,70.110001,2021900
2020-01-16,70.459999,71.260002,69.279999,70.360001,70.360001,1140400
2020-01-17,70.440002,72.099998,70.230003,71.260002,71.260002,869700
2020-01-20,71.199997,75.680000,70.790001,75.680000,75.680000,1785900
2020-01-21,75.029999,77.750000,74.519997,76.559998,76.559998,3760300
2020-01-22,77.470001,78.199997,75.230003,75.849998,75.849998,1785000
2020-01-23,74.949997,75.769997,74.220001,75.349998,75.349998,1725800
2020-01-24,75.050003,76.110001,73.580002,74.250000,74.250000,1493300
2020-01-27,72.199997,72.500000,71.300003,72.129997,72.129997,1538900
2020-01-28,72.180000,76.120003,71.900002,75.050003,75.050003,2130300
2020-01-29,75.940002,76.980003,75.000000,75.440002,75.440002,1592100
